Mark Sequence Malloc     Size       Addr Line File
  18    44055 new        7808 0x017717A0  224 \support\shape\shapebinfile.cpp
  18    44057 new         112 0x0176E400  323 \support\shape\shapemanager.cpp
  18    44058 new        4864 0x017736A8  224 \support\shape\shapebinfile.cpp
  18    44060 new         112 0x0176E4F8  323 \support\shape\shapemanager.cpp
  18    44061 new        8224 0x01774A30  224 \support\shape\shapebinfile.cpp
  18    44063 new         112 0x0176E5F0  323 \support\shape\shapemanager.cpp
  18    44064 new        9536 0x01776AD8  224 \support\shape\shapebinfile.cpp
  18    44066 new         112 0x0176E6E8  323 \support\shape\shapemanager.cpp
  18    44067 new       10576 0x017790A0  224 \support\shape\shapebinfile.cpp
  18    44069 new         112 0x0176E7E0  323 \support\shape\shapemanager.cpp
  18    44070 new       22496 0x0177BA78  224 \support\shape\shapebinfile.cpp
  18    44072 new         112 0x0176E8D8  323 \support\shape\shapemanager.cpp
  18    44073 new        9440 0x017812E0  224 \support\shape\shapebinfile.cpp
  28    44084 ------ -------- ---------- ---- ----TERRAIN
  28    44085 new      383328 0x01783848   32 ort\objects\terrain\terrain.cpp
  30    44092 ------ -------- ---------- ---- ----BUILDING
  30    44093 new        1032 0x012C6B80   37 upport\building\buildingobj.cpp
  30    44094 new         168 0x003AA698  665 Support\Building\BldManager.cpp
  30    44095 new      605880 0x01DE0080  253 port\building\bldfilesystem.hpp
  30    44097 new        5456 0x012C7008   64 upport\building\bldinstance.cpp
  31    44098 ------ -------- ---------- ---- ----BUILDING
  31    44099 new        1032 0x0176E9D0   37 upport\building\buildingobj.cpp
  31    44100 new         168 0x003AA7C0  665 Support\Building\BldManager.cpp
  31    44101 new      152232 0x012C85E0  253 port\building\bldfilesystem.hpp
  31    44103 new        1024 0x0176EE58   64 upport\building\bldinstance.cpp
  32    44104 ------ -------- ---------- ---- ----BUILDING
